fecha,tipo,concepto,categoria,monto
2023-03-04,gasto,Renta oficina,infraestructura,45345.2
2023-04-08,gasto,Servicios publicos,infraestructura,6065.37
2025-09-23,gasto,Publicidad online,marketing,76025.72
2025-02-10,ingreso,Venta producto B,ventas,683161.66
2025-05-30,ingreso,Venta producto A,ventas,834058.6
2025-06-09,ingreso,Venta producto A,ventas,246092.76
2024-02-20,gasto,Renta oficina,infraestructura,72210.11
2025-05-16,gasto,Consultoria externa,servicios,68079.93
2024-01-08,gasto,Publicidad online,marketing,72415.41
2024-08-03,gasto,Compra inventario,costos,24586.6
2024-02-06,gasto,Publicidad online,marketing,65987.1
2023-10-04,ingreso,Venta producto A,ventas,155486.09
2023-11-23,gasto,Servicios publicos,infraestructura,86470.47
2025-02-16,gasto,Servicios publicos,infraestructura,92032.3
2023-11-07,gasto,Compra inventario,costos,228298.05
2023-03-05,gasto,Consultoria externa,servicios,105841.81
2024-09-01,gasto,Compra inventario,costos,178230.68
2023-10-18,gasto,Compra inventario,costos,77197.61
2024-08-21,gasto,Publicidad online,marketing,33607.19
2023-11-09,gasto,Renta oficina,infraestructura,37295.51
2024-03-09,gasto,Renta oficina,infraestructura,35071.46
2024-07-19,gasto,Renta oficina,infraestructura,36873.94
2023-10-05,gasto,Nomina Operativa,personal,138287.0
2024-07-12,ingreso,Venta producto B,ventas,179980.64
2025-07-24,ingreso,Venta producto B,ventas,778601.91
2025-04-29,gasto,Consultoria externa,servicios,63801.21
2024-06-13,gasto,Renta oficina,infraestructura,22332.51
2024-09-11,gasto,Renta oficina,infraestructura,96196.53
2023-05-07,ingreso,Venta producto A,ventas,818357.79
2023-03-16,ingreso,Venta producto A,ventas,641645.06
2024-12-19,gasto,Nomina Operativa,personal,25247.73
2023-12-02,gasto,Compra inventario,costos,253508.48
2024-06-24,gasto,Publicidad online,marketing,51268.99
2024-06-17,gasto,Consultoria externa,servicios,113485.66
2023-12-24,gasto,Compra inventario,costos,34854.88
2025-05-24,ingreso,Venta producto A,ventas,648606.54
2024-04-23,gasto,Nomina Operativa,personal,172645.67
2023-06-28,ingreso,Venta producto B,ventas,344853.75
2023-09-16,ingreso,Venta producto A,ventas,57806.88
2023-06-15,gasto,Consultoria externa,servicios,63368.65
2024-06-19,gasto,Renta oficina,infraestructura,58583.04
2024-05-28,gasto,Consultoria externa,servicios,141639.45
2025-07-18,ingreso,Venta producto B,ventas,283337.05
2025-01-22,gasto,Servicios publicos,infraestructura,79252.48
2023-08-07,ingreso,Venta producto B,ventas,177854.27
2024-10-14,gasto,Publicidad online,marketing,12871.92
2024-11-10,gasto,Publicidad online,marketing,62763.48
2024-08-08,gasto,Consultoria externa,servicios,46031.72
2023-12-20,ingreso,Venta producto B,ventas,951027.97
2024-04-02,gasto,Compra inventario,costos,179485.47
2024-01-29,gasto,Servicios publicos,infraestructura,29370.95
2023-03-04,gasto,Nomina Operativa,personal,162728.94
2025-07-22,ingreso,Venta producto B,ventas,833217.09
2024-02-28,gasto,Renta oficina,infraestructura,49028.62
2023-12-03,gasto,Nomina Operativa,personal,53943.78
2025-08-29,gasto,Compra inventario,costos,205418.85
2024-04-29,gasto,Compra inventario,costos,47051.18
2024-10-01,gasto,Servicios publicos,infraestructura,42702.52
2023-05-13,ingreso,Venta producto A,ventas,386087.53
2023-12-10,gasto,Servicios publicos,infraestructura,46228.18
2024-12-18,gasto,Consultoria externa,servicios,40739.81
2023-12-17,gasto,Renta oficina,infraestructura,42999.92
2025-07-02,gasto,Consultoria externa,servicios,60458.97
2025-02-01,gasto,Nomina Operativa,personal,218201.88
2023-08-16,gasto,Consultoria externa,servicios,81610.22
2024-05-18,ingreso,Venta producto A,ventas,990835.83
2024-08-27,gasto,Compra inventario,costos,13265.31
2024-01-17,ingreso,Venta producto B,ventas,188529.32
2023-09-02,gasto,Publicidad online,marketing,39435.3
2025-08-25,gasto,Compra inventario,costos,137808.73
