fecha,tipo,concepto,categoria,monto
2025-04-02,gasto,Servicios publicos,infraestructura,50784.08
2025-02-16,ingreso,Venta producto A,ventas,913676.58
2024-05-10,gasto,Compra inventario,costos,177086.91
2023-06-01,gasto,Compra inventario,costos,87962.35
2024-06-08,gasto,Renta oficina,infraestructura,67908.11
2023-07-17,gasto,Consultoria externa,servicios,121236.45
2025-04-08,ingreso,Venta producto B,ventas,786493.15
2025-06-23,gasto,Publicidad online,marketing,42212.28
2025-02-20,gasto,Servicios publicos,infraestructura,91852.81
2023-04-18,gasto,Publicidad online,marketing,57900.67
2024-10-28,gasto,Publicidad online,marketing,21262.18
2025-07-28,gasto,Nomina Operativa,personal,157709.63
2024-03-27,gasto,Renta oficina,infraestructura,24199.62
2023-12-17,gasto,Servicios publicos,infraestructura,69898.96
2023-01-28,ingreso,Venta producto A,ventas,739140.91
2023-05-27,ingreso,Venta producto B,ventas,978922.2
2025-08-05,gasto,Compra inventario,costos,114527.5
2024-11-06,gasto,Nomina Operativa,personal,50147.64
2023-06-19,gasto,Servicios publicos,infraestructura,89954.25
2025-08-20,gasto,Publicidad online,marketing,22754.53
2025-04-03,ingreso,Venta producto A,ventas,710244.49
2024-04-13,ingreso,Venta producto A,ventas,698373.16
2023-04-24,gasto,Compra inventario,costos,131369.18
2023-07-14,gasto,Consultoria externa,servicios,115399.97
2023-08-29,gasto,Servicios publicos,infraestructura,52815.57
2023-03-26,gasto,Consultoria externa,servicios,60320.83
2024-11-26,ingreso,Venta producto A,ventas,174271.27
2024-10-04,gasto,Renta oficina,infraestructura,56409.11
2023-03-16,gasto,Publicidad online,marketing,48970.14
2024-04-11,gasto,Publicidad online,marketing,51554.01
2024-07-17,gasto,Nomina Operativa,personal,119582.39
2023-06-10,gasto,Consultoria externa,servicios,139921.66
2024-07-13,gasto,Nomina Operativa,personal,115354.37
2023-02-09,gasto,Publicidad online,marketing,62908.85
2025-04-13,gasto,Compra inventario,costos,284687.71
2024-08-26,gasto,Publicidad online,marketing,47622.87
2023-03-12,gasto,Nomina Operativa,personal,163900.9
2025-06-08,ingreso,Venta producto B,ventas,708639.28
2023-08-27,gasto,Compra inventario,costos,283118.75
2024-07-04,ingreso,Venta producto B,ventas,843390.71
2023-02-05,gasto,Consultoria externa,servicios,12575.84
2024-08-25,ingreso,Venta producto B,ventas,506563.73
2025-08-14,gasto,Renta oficina,infraestructura,80519.55
2023-12-21,gasto,Consultoria externa,servicios,126865.56
2025-03-14,gasto,Servicios publicos,infraestructura,17924.39
2024-08-12,ingreso,Venta producto B,ventas,200735.25
2024-04-09,gasto,Renta oficina,infraestructura,96981.3
2023-03-09,ingreso,Venta producto A,ventas,952582.44
2023-06-09,gasto,Consultoria externa,servicios,136956.69
