fecha,tipo,concepto,categoria,monto
2023-05-01,gasto,Publicidad online,marketing,72980.54
2023-07-11,gasto,Nomina Operativa,personal,189236.36
2025-07-26,gasto,Compra inventario,costos,186460.45
2023-09-26,gasto,Renta oficina,infraestructura,71674.75
2024-03-06,ingreso,Venta producto B,ventas,488842.48
2025-02-09,ingreso,Venta producto A,ventas,596522.54
2024-04-14,gasto,Renta oficina,infraestructura,88448.03
2023-04-26,gasto,Servicios publicos,infraestructura,70539.21
2024-02-17,ingreso,Venta producto B,ventas,342789.9
2023-03-15,gasto,Publicidad online,marketing,54305.63
2025-07-18,ingreso,Venta producto A,ventas,73823.29
2024-07-14,gasto,Servicios publicos,infraestructura,35816.57
2023-11-17,gasto,Renta oficina,infraestructura,62018.01
2024-11-06,gasto,Nomina Operativa,personal,239942.75
2024-03-06,gasto,Nomina Operativa,personal,47984.75
2023-11-30,gasto,Nomina Operativa,personal,157174.32
2023-05-17,gasto,Nomina Operativa,personal,249862.23
2025-04-24,ingreso,Venta producto B,ventas,914283.85
2023-11-12,ingreso,Venta producto A,ventas,480718.96
2024-02-13,ingreso,Venta producto A,ventas,632151.47
2024-10-03,ingreso,Venta producto B,ventas,80430.2
2024-02-14,gasto,Nomina Operativa,personal,34919.41
2024-02-20,gasto,Nomina Operativa,personal,94138.94
2023-04-19,gasto,Renta oficina,infraestructura,47042.54
2023-03-30,gasto,Publicidad online,marketing,48881.97
2023-01-15,gasto,Publicidad online,marketing,18238.94
2025-03-06,ingreso,Venta producto B,ventas,903221.25
2024-08-24,gasto,Publicidad online,marketing,18351.96
2025-01-26,gasto,Consultoria externa,servicios,71037.13
2023-01-24,ingreso,Venta producto A,ventas,482685.03
2025-02-01,gasto,Servicios publicos,infraestructura,59570.59
2023-02-11,gasto,Compra inventario,costos,280810.64
2023-09-02,gasto,Consultoria externa,servicios,88926.08
2024-12-20,gasto,Servicios publicos,infraestructura,70952.9
2024-09-26,ingreso,Venta producto A,ventas,670866.51
2024-08-01,ingreso,Venta producto B,ventas,958167.57
