fecha,tipo,concepto,categoria,monto
2025-04-21,ingreso,Venta producto B,ventas,536867.81
2024-08-06,gasto,Compra inventario,costos,205242.26
2025-03-21,gasto,Consultoria externa,servicios,80631.33
2025-09-20,ingreso,Venta producto B,ventas,689341.58
2024-02-11,ingreso,Venta producto A,ventas,682001.16
2024-07-17,gasto,Publicidad online,marketing,76672.09
2024-11-07,gasto,Consultoria externa,servicios,75066.74
2023-10-21,ingreso,Venta producto B,ventas,530025.07
2024-11-16,gasto,Servicios publicos,infraestructura,18781.24
2024-10-28,gasto,Consultoria externa,servicios,78763.7
2023-06-08,ingreso,Venta producto A,ventas,335753.27
2024-08-17,ingreso,Venta producto B,ventas,489912.07
2023-06-08,gasto,Servicios publicos,infraestructura,52359.95
2024-08-27,gasto,Consultoria externa,servicios,39192.32
2024-05-13,gasto,Renta oficina,infraestructura,53784.74
2024-09-11,gasto,Nomina Operativa,personal,84533.7
2024-01-30,gasto,Nomina Operativa,personal,125299.84
2023-08-08,gasto,Renta oficina,infraestructura,74682.97
2024-02-10,ingreso,Venta producto A,ventas,234477.57
2025-07-28,gasto,Renta oficina,infraestructura,70385.36
2023-06-06,ingreso,Venta producto B,ventas,375446.2
2024-02-26,ingreso,Venta producto A,ventas,462459.55
2024-10-26,ingreso,Venta producto B,ventas,389811.15
2024-08-21,gasto,Compra inventario,costos,285250.23
2023-01-31,gasto,Renta oficina,infraestructura,86653.67
2024-03-08,gasto,Nomina Operativa,personal,87100.99
2023-09-25,gasto,Servicios publicos,infraestructura,8154.12
2024-01-23,gasto,Consultoria externa,servicios,61198.5
2025-02-16,gasto,Renta oficina,infraestructura,60567.4
2023-10-17,gasto,Nomina Operativa,personal,63769.93
2023-01-18,gasto,Compra inventario,costos,207377.52
2025-03-01,gasto,Publicidad online,marketing,12892.67
2024-11-14,gasto,Renta oficina,infraestructura,9520.32
2025-07-08,gasto,Compra inventario,costos,242739.85
2025-09-09,ingreso,Venta producto A,ventas,65733.07
2025-02-14,gasto,Servicios publicos,infraestructura,76498.02
2024-11-07,gasto,Renta oficina,infraestructura,74665.58
2024-02-28,gasto,Consultoria externa,servicios,136845.36
2024-03-15,gasto,Renta oficina,infraestructura,45126.31
2024-05-10,ingreso,Venta producto A,ventas,707914.53
2024-04-07,gasto,Publicidad online,marketing,12378.23
2023-11-22,gasto,Servicios publicos,infraestructura,60298.55
2025-08-28,gasto,Renta oficina,infraestructura,34663.6
2024-08-25,gasto,Nomina Operativa,personal,234183.82
2025-09-08,gasto,Consultoria externa,servicios,97224.1
2023-11-18,gasto,Nomina Operativa,personal,56962.07
2024-05-02,gasto,Consultoria externa,servicios,92828.43
2025-09-05,ingreso,Venta producto B,ventas,606295.59
2023-12-27,gasto,Consultoria externa,servicios,76368.0
2024-07-26,gasto,Publicidad online,marketing,32220.88
2025-08-05,gasto,Consultoria externa,servicios,102479.68
2025-09-29,ingreso,Venta producto B,ventas,207222.11
2023-10-02,gasto,Compra inventario,costos,109603.28
2023-09-06,gasto,Compra inventario,costos,131291.84
2024-08-24,gasto,Consultoria externa,servicios,124187.4
2023-08-25,gasto,Nomina Operativa,personal,189139.05
2023-08-18,gasto,Renta oficina,infraestructura,75652.27
2023-06-11,ingreso,Venta producto A,ventas,129315.14
2023-03-17,gasto,Consultoria externa,servicios,147760.14
2025-01-22,gasto,Servicios publicos,infraestructura,32238.48
2025-01-17,gasto,Consultoria externa,servicios,54193.09
2023-03-27,ingreso,Venta producto A,ventas,213129.19
2025-06-12,gasto,Servicios publicos,infraestructura,48924.04
2024-11-05,gasto,Publicidad online,marketing,37133.35
2024-02-04,gasto,Consultoria externa,servicios,141853.72
2025-06-14,gasto,Nomina Operativa,personal,83276.0
2023-01-13,gasto,Compra inventario,costos,47427.69
2024-09-29,ingreso,Venta producto B,ventas,825196.54
