fecha,tipo,concepto,categoria,monto
2023-01-29,gasto,Nomina Operativa,personal,235632.85
2023-06-30,gasto,Nomina Operativa,personal,156802.84
2023-09-16,gasto,Consultoria externa,servicios,56653.67
2023-09-03,gasto,Nomina Operativa,personal,75072.74
2023-04-02,gasto,Renta oficina,infraestructura,7336.99
2023-03-08,gasto,Nomina Operativa,personal,96006.32
2023-03-04,gasto,Renta oficina,infraestructura,69394.44
2023-09-14,gasto,Publicidad online,marketing,15032.48
2023-07-03,gasto,Nomina Operativa,personal,23256.18
2023-09-20,gasto,Publicidad online,marketing,27491.23
2023-01-21,gasto,Renta oficina,infraestructura,59781.17
2023-01-19,gasto,Nomina Operativa,personal,42348.32
2023-08-24,ingreso,Venta producto A,ventas,877294.56
2023-09-23,gasto,Publicidad online,marketing,10047.55
2023-04-21,gasto,Publicidad online,marketing,46971.06
2023-09-24,gasto,Consultoria externa,servicios,101920.74
2023-04-02,gasto,Publicidad online,marketing,67141.7
2023-04-27,gasto,Servicios publicos,infraestructura,19478.92
2023-10-26,gasto,Renta oficina,infraestructura,59187.8
2023-02-27,gasto,Compra inventario,costos,220900.88
2023-02-09,gasto,Servicios publicos,infraestructura,37688.42
2023-04-27,gasto,Publicidad online,marketing,23508.46
2023-07-25,gasto,Servicios publicos,infraestructura,85998.56
2023-04-10,ingreso,Venta producto A,ventas,302505.19
2023-07-19,gasto,Nomina Operativa,personal,219121.47
2023-01-08,gasto,Renta oficina,infraestructura,22228.27
2023-05-27,gasto,Publicidad online,marketing,47014.47
2023-11-12,gasto,Nomina Operativa,personal,146919.97
2023-11-29,gasto,Renta oficina,infraestructura,86482.54
2023-04-18,ingreso,Venta producto B,ventas,735860.72
2023-02-27,ingreso,Venta producto B,ventas,902925.04
2023-05-28,ingreso,Venta producto A,ventas,889764.09
2023-01-16,gasto,Renta oficina,infraestructura,58598.34
2023-10-28,gasto,Nomina Operativa,personal,172761.02
2023-12-10,gasto,Nomina Operativa,personal,74277.58
2023-09-19,ingreso,Venta producto B,ventas,285356.63
2023-09-04,gasto,Compra inventario,costos,195831.53
2023-01-18,gasto,Nomina Operativa,personal,227771.36
2023-06-06,ingreso,Venta producto A,ventas,81601.02
2023-08-18,ingreso,Venta producto B,ventas,387919.21
2023-02-02,gasto,Nomina Operativa,personal,34007.54
2023-03-23,gasto,Renta oficina,infraestructura,87660.43
2023-12-18,gasto,Compra inventario,costos,209949.15
2023-07-04,gasto,Publicidad online,marketing,79368.56
2023-05-14,ingreso,Venta producto A,ventas,839357.31
2023-03-21,gasto,Renta oficina,infraestructura,39112.48
2023-03-26,gasto,Nomina Operativa,personal,149185.89
2023-05-29,ingreso,Venta producto A,ventas,640273.37
2023-06-23,gasto,Renta oficina,infraestructura,95559.7
2023-08-28,gasto,Servicios publicos,infraestructura,91008.85
2023-07-02,gasto,Compra inventario,costos,229126.35
2023-10-23,ingreso,Venta producto B,ventas,99637.94
2023-02-01,gasto,Consultoria externa,servicios,21088.07
2023-03-06,gasto,Compra inventario,costos,163462.13
2023-11-01,ingreso,Venta producto A,ventas,58622.21
2023-03-30,ingreso,Venta producto B,ventas,795648.1
2023-06-05,gasto,Compra inventario,costos,290986.36
