fecha,tipo,concepto,categoria,monto
2023-06-01,gasto,Consultoria externa,servicios,75641.76
2023-05-09,gasto,Compra inventario,costos,170016.07
2023-03-11,gasto,Consultoria externa,servicios,74524.19
2023-01-26,gasto,Servicios publicos,infraestructura,81924.68
2023-07-01,gasto,Servicios publicos,infraestructura,45409.92
2023-04-06,gasto,Consultoria externa,servicios,129982.17
2023-08-27,ingreso,Venta producto B,ventas,902952.31
2023-06-07,gasto,Servicios publicos,infraestructura,24257.83
2023-12-05,gasto,Nomina Operativa,personal,237563.28
2023-09-23,gasto,Publicidad online,marketing,46878.32
2023-09-18,gasto,Nomina Operativa,personal,178380.98
2023-11-25,gasto,Consultoria externa,servicios,142519.15
2023-11-21,gasto,Publicidad online,marketing,50452.47
2023-04-18,gasto,Nomina Operativa,personal,71800.46
2023-01-21,ingreso,Venta producto B,ventas,946985.68
2023-08-17,ingreso,Venta producto A,ventas,118480.74
2023-04-14,ingreso,Venta producto B,ventas,550970.64
2023-09-16,gasto,Servicios publicos,infraestructura,29641.65
2023-10-19,ingreso,Venta producto A,ventas,82799.93
2023-10-21,ingreso,Venta producto B,ventas,314971.63
2023-03-12,ingreso,Venta producto B,ventas,319691.66
2023-10-14,gasto,Renta oficina,infraestructura,91796.79
2023-12-22,gasto,Compra inventario,costos,164356.01
2023-03-06,gasto,Renta oficina,infraestructura,12511.45
2023-09-21,gasto,Publicidad online,marketing,6667.59
2023-12-19,ingreso,Venta producto B,ventas,535675.07
2023-08-16,gasto,Publicidad online,marketing,60279.66
2023-11-05,gasto,Compra inventario,costos,91513.4
2023-07-29,gasto,Consultoria externa,servicios,109339.35
2023-12-03,gasto,Servicios publicos,infraestructura,77524.3
2023-06-07,ingreso,Venta producto B,ventas,708590.32
2023-08-10,gasto,Servicios publicos,infraestructura,15641.61
2023-05-07,gasto,Nomina Operativa,personal,46468.58
2023-08-18,ingreso,Venta producto B,ventas,510810.3
2023-07-10,gasto,Servicios publicos,infraestructura,46386.23
2023-05-08,gasto,Renta oficina,infraestructura,96918.35
2023-02-26,ingreso,Venta producto A,ventas,264460.42
2023-10-18,ingreso,Venta producto B,ventas,773457.24
2023-10-20,gasto,Renta oficina,infraestructura,51028.04
2023-09-05,gasto,Publicidad online,marketing,32664.42
2023-10-19,gasto,Nomina Operativa,personal,122799.44
2023-01-23,gasto,Publicidad online,marketing,59009.97
2023-06-30,gasto,Publicidad online,marketing,8623.33
2023-02-12,gasto,Consultoria externa,servicios,27192.5
2023-01-05,gasto,Servicios publicos,infraestructura,82887.93
2023-02-15,gasto,Renta oficina,infraestructura,16489.83
2023-09-24,gasto,Publicidad online,marketing,39724.95
2023-12-28,gasto,Servicios publicos,infraestructura,47186.33
2023-12-07,gasto,Publicidad online,marketing,21652.49
2023-12-04,ingreso,Venta producto B,ventas,248726.07
2023-10-20,gasto,Renta oficina,infraestructura,42539.15
2023-10-02,gasto,Publicidad online,marketing,10258.13
2023-09-03,ingreso,Venta producto B,ventas,465907.12
2023-03-30,gasto,Renta oficina,infraestructura,79100.2
2023-09-10,gasto,Consultoria externa,servicios,116353.2
2023-08-20,gasto,Servicios publicos,infraestructura,80352.28
2023-03-31,gasto,Servicios publicos,infraestructura,85713.76
2023-05-11,gasto,Consultoria externa,servicios,50421.18
2023-01-03,ingreso,Venta producto A,ventas,767691.19
2023-04-22,gasto,Compra inventario,costos,163746.04
2023-06-10,gasto,Publicidad online,marketing,7392.4
2023-04-07,gasto,Renta oficina,infraestructura,34581.05
2023-06-23,gasto,Servicios publicos,infraestructura,29264.89
2023-02-11,gasto,Publicidad online,marketing,5278.28
2023-04-21,gasto,Publicidad online,marketing,6268.76
2023-05-06,gasto,Consultoria externa,servicios,29529.73
2023-03-24,gasto,Compra inventario,costos,220356.65
2023-11-29,ingreso,Venta producto A,ventas,128334.29
2023-01-23,ingreso,Venta producto A,ventas,513977.17
2023-10-12,gasto,Nomina Operativa,personal,11243.33
2023-01-23,ingreso,Venta producto B,ventas,763564.48
2023-07-16,gasto,Renta oficina,infraestructura,50806.22
2023-12-05,gasto,Compra inventario,costos,134595.1
2023-11-21,gasto,Nomina Operativa,personal,155891.54
2023-03-13,gasto,Publicidad online,marketing,28136.61
2023-01-05,gasto,Consultoria externa,servicios,97434.92
2023-02-03,ingreso,Venta producto B,ventas,882891.78
2023-03-01,gasto,Renta oficina,infraestructura,88873.85
2023-06-09,ingreso,Venta producto B,ventas,999263.0
2023-01-18,gasto,Compra inventario,costos,203279.32
2023-10-14,gasto,Publicidad online,marketing,76867.86
2023-02-28,gasto,Nomina Operativa,personal,176298.11
2023-10-19,gasto,Consultoria externa,servicios,117912.06
2023-03-26,gasto,Renta oficina,infraestructura,25396.31
2023-05-17,ingreso,Venta producto A,ventas,894145.62
2023-02-26,gasto,Compra inventario,costos,162864.38
2023-05-29,gasto,Servicios publicos,infraestructura,5386.76
2023-10-11,gasto,Consultoria externa,servicios,132445.88
2023-10-13,gasto,Consultoria externa,servicios,29353.6
2023-10-09,ingreso,Venta producto B,ventas,440218.92
2023-10-25,gasto,Consultoria externa,servicios,89194.91
2023-11-28,gasto,Compra inventario,costos,180508.89
2023-06-23,ingreso,Venta producto B,ventas,686629.48
2023-08-11,gasto,Publicidad online,marketing,52408.15
2023-08-31,gasto,Publicidad online,marketing,56018.03
2023-05-24,ingreso,Venta producto B,ventas,645624.6
2023-01-05,gasto,Consultoria externa,servicios,78231.21
2023-09-25,gasto,Compra inventario,costos,152698.61
2023-04-27,gasto,Publicidad online,marketing,37787.05
2023-09-08,gasto,Renta oficina,infraestructura,94236.91
2023-10-21,ingreso,Venta producto A,ventas,558031.3
2023-02-09,gasto,Compra inventario,costos,195316.75
2023-12-11,gasto,Servicios publicos,infraestructura,89372.26
2023-04-07,gasto,Consultoria externa,servicios,121865.77
2023-09-06,gasto,Renta oficina,infraestructura,32627.45
2023-12-21,gasto,Renta oficina,infraestructura,83496.26
2023-02-25,ingreso,Venta producto A,ventas,479118.42
2023-10-11,gasto,Publicidad online,marketing,14570.08
2023-05-12,gasto,Compra inventario,costos,218549.28
2023-10-03,gasto,Publicidad online,marketing,50130.16
2023-08-08,gasto,Compra inventario,costos,123106.0
2023-12-26,gasto,Consultoria externa,servicios,27892.24
2023-08-07,gasto,Renta oficina,infraestructura,31645.91
2023-07-22,gasto,Consultoria externa,servicios,22511.42
2023-05-10,gasto,Consultoria externa,servicios,27998.12
2023-04-08,ingreso,Venta producto B,ventas,527486.38
2023-04-30,gasto,Servicios publicos,infraestructura,92501.86
2023-06-04,gasto,Compra inventario,costos,164239.1
2023-01-05,ingreso,Venta producto A,ventas,610953.84
2023-10-21,ingreso,Venta producto A,ventas,105309.63
2023-03-03,gasto,Renta oficina,infraestructura,14779.19
2023-09-21,gasto,Consultoria externa,servicios,18761.57
2023-03-25,gasto,Publicidad online,marketing,56376.19
2023-12-23,ingreso,Venta producto B,ventas,750086.25
2023-07-06,gasto,Publicidad online,marketing,19787.64
2023-11-25,ingreso,Venta producto B,ventas,549510.96
2023-07-05,gasto,Compra inventario,costos,49046.48
2023-08-07,gasto,Consultoria externa,servicios,81185.35
2023-06-11,ingreso,Venta producto B,ventas,907950.07
2023-12-04,gasto,Compra inventario,costos,244355.43
2023-01-11,ingreso,Venta producto B,ventas,166597.08
2023-07-01,gasto,Servicios publicos,infraestructura,14358.61
2023-03-03,ingreso,Venta producto B,ventas,336731.53
2023-08-08,gasto,Renta oficina,infraestructura,20915.03
2023-09-29,gasto,Nomina Operativa,personal,149754.78
2023-07-25,gasto,Renta oficina,infraestructura,65994.15
2023-12-07,gasto,Servicios publicos,infraestructura,95831.35
2023-07-12,gasto,Compra inventario,costos,229806.19
2023-08-01,ingreso,Venta producto A,ventas,366874.75
2023-02-08,gasto,Nomina Operativa,personal,199268.13
2023-09-25,gasto,Consultoria externa,servicios,63521.16
2023-05-03,gasto,Nomina Operativa,personal,56455.17
