fecha,tipo,concepto,categoria,monto
2023-04-01,ingreso,Venta producto A,ventas,824415.81
2023-01-22,gasto,Renta oficina,infraestructura,58270.27
2023-11-18,gasto,Renta oficina,infraestructura,73960.84
2023-09-19,gasto,Compra inventario,costos,223366.51
2023-08-29,gasto,Consultoria externa,servicios,131308.97
2023-09-29,gasto,Consultoria externa,servicios,126291.44
2023-03-05,ingreso,Venta producto A,ventas,317186.72
2023-06-02,gasto,Consultoria externa,servicios,39173.07
2023-04-16,ingreso,Venta producto B,ventas,62597.03
2023-02-11,gasto,Nomina Operativa,personal,47172.87
2023-10-11,ingreso,Venta producto A,ventas,768427.5
2023-09-29,ingreso,Venta producto A,ventas,57553.38
2023-03-03,gasto,Nomina Operativa,personal,150248.1
2023-04-17,gasto,Publicidad online,marketing,59310.56
2023-01-23,gasto,Nomina Operativa,personal,183078.09
2023-06-20,ingreso,Venta producto A,ventas,722046.24
2023-01-05,gasto,Publicidad online,marketing,10403.81
2023-11-20,gasto,Servicios publicos,infraestructura,87396.54
2023-09-28,ingreso,Venta producto A,ventas,199820.76
2023-11-20,gasto,Consultoria externa,servicios,120637.95
2023-03-21,ingreso,Venta producto A,ventas,832958.28
2023-12-24,gasto,Compra inventario,costos,237822.63
2023-08-05,gasto,Renta oficina,infraestructura,20435.48
2023-02-18,gasto,Renta oficina,infraestructura,50358.62
2023-06-02,ingreso,Venta producto A,ventas,739696.33
2023-06-01,gasto,Nomina Operativa,personal,143329.82
2023-05-15,ingreso,Venta producto B,ventas,772871.38
2023-01-16,gasto,Renta oficina,infraestructura,84868.21
2023-01-06,gasto,Publicidad online,marketing,12594.75
2023-08-28,gasto,Publicidad online,marketing,69139.96
2023-07-11,gasto,Publicidad online,marketing,29202.06
2023-01-06,gasto,Consultoria externa,servicios,104414.49
2023-06-27,gasto,Servicios publicos,infraestructura,88744.02
2023-03-06,gasto,Renta oficina,infraestructura,92547.42
2023-11-03,gasto,Publicidad online,marketing,64547.54
2023-11-02,gasto,Servicios publicos,infraestructura,41690.02
2023-12-24,gasto,Renta oficina,infraestructura,91103.53
2023-08-11,gasto,Publicidad online,marketing,31487.92
2023-06-03,ingreso,Venta producto A,ventas,146341.55
2023-08-28,gasto,Nomina Operativa,personal,249515.77
2023-07-07,gasto,Consultoria externa,servicios,70958.16
